exporter,importer,year,trade,Y,E,pta,contiguity,common_language,lndist,international
Australia,Mexico,2021,2485957.01,342036103.27,506565459.47,1,0,0,14359,1
Canada,Mexico,2021,20453800.09,501538854.87,506565459.47,1,0,0,3604,1
Chile,Mexico,2021,1139794.39,94676809.21,506565459.47,1,0,0,7353,1
Japan,Mexico,2021,5062543.94,757066261.25,506565459.47,1,0,0,10791,1
New Zealand,Mexico,2021,85753.55,44325287.82,506565459.47,1,0,0,11103,1
Peru,Mexico,2021,1335838.55,56260115.20,506565459.47,0,0,1,4708,1
Singapore,Mexico,2021,1626532.26,457473986.07,506565459.47,1,0,0,16024,1
Vietnam,Mexico,2021,4063537.44,335792597.81,506565459.47,0,0,0,14639,1
India,Mexico,2021,18956.34,394813673.35,506565459.47,1,0,0,15108,1
Malaysia,Mexico,2021,2241104.28,299230434.39,506565459.47,1,0,0,15924,1
Brunei,Mexico,2021,4257.14,11058184.37,506565459.47,1,0,0,14893,1
UK,Mexico,2021,2373541.80,470547786.03,506565459.47,1,0,0,8414,1
Mexico,Mexico,2021,11969956.03,494595503.44,506565459.47,0,0,1,0,0
Australia,Singapore,2021,3218056.97,342036103.27,406622366.68,1,0,1,4374,1
Canada,Singapore,2021,142878.62,501538854.87,406622366.68,1,0,0,1279,1
India,Singapore,2021,7551444.89,394813673.35,406622366.68,1,0,1,13060,1
Japan,Singapore,2021,11194587.96,757066261.25,406622366.68,1,0,0,16174,1
Malaysia,Singapore,2021,19228717.13,299230434.39,406622366.68,1,1,1,3440,1
Mexico,Singapore,2021,1291755.53,494595503.44,406622366.68,1,0,0,5241,1
New Zealand,Singapore,2021,364521.91,44325287.82,406622366.68,1,0,1,377,1
Vietnam,Singapore,2021,309227.57,335792597.81,406622366.68,0,0,0,16024,1
Brunei,Singapore,2021,1623037.04,11058184.37,406622366.68,1,0,1,8529,1
Chile,Singapore,2021,23783.61,94676809.21,406622366.68,1,0,0,19122,1
Peru,Singapore,2021,60817.84,56260115.20,406622366.68,0,0,0,1488,1
UK,Singapore,2021,5252867.94,470547786.03,406622366.68,1,0,1,10954,1
Singapore,Singapore,2021,50851619.39,457473986.07,406622366.68,0,0,1,0,0
Australia,Australia,2021,80449723.81,342036103.27,261586379.46,0,0,1,0,0
