exporter,importer,baseline modeled trade,experiment trade,trade change (percent),baseline observed trade,experiment observed trade,trade change (observed level)
Australia,Australia,65928885.01194381,65922004.69683137,-0.01043596461732263,80449723.81,80441328.10528845,-8395.704711556435
Australia,Brazil,4754731.971230059,4759726.242698794,0.10503791799316232,1306900.09,1308272.8306447868,1372.7406447867397
Australia,Brunei,173275.93321851658,173457.9988175238,0.1050726408598306,1315825.95,1317208.523074784,1382.5730747841299
Australia,Canada,9691082.323968787,9695802.70780576,0.048708530989346924,864257.68,864678.6472198907,420.96721989067737
Australia,Chile,3667269.902593611,3671081.760997508,0.10394267411846371,113105.04,113222.60440313876,117.56440313876374
Australia,China,50157178.625784956,50207205.98062845,0.09974116609856333,116817969.91,116934485.5154009,116515.60540090501
Australia,France,19166799.857050434,19185366.664306745,0.09686962557540063,1366863.94,1368188.0159808032,1324.0759808032308
Australia,Germany,37165339.57555743,37200984.072766386,0.0959079013296444,1749430.14,1751107.9817325023,1677.8417325024493
Australia,India,8519460.96611686,8507320.57540823,-0.1425018643422983,7254797.05,7244458.828949499,-10338.22105050087
Australia,Italy,18942036.61685035,18960762.22287526,0.09885740590455805,730041.68,730763.3802668701,721.700266870088
Australia,Japan,23475899.087465424,23499044.347015172,0.0985915788081837,14540749.56,14555085.514561748,14335.95456174761
Australia,Malaysia,3788413.1113534328,3792300.8043780206,0.10262062004106295,6097153.05,6103409.9862647625,6256.936264762655
Australia,Mexico,15982135.030797869,15997949.654026024,0.09895188094506777,2485957.01,2488416.91122088,2459.901220880449
Australia,New Zealand,1110403.432642781,1110682.8859387606,0.02516682565673854,2996449.6,2997203.7112467242,754.1112467241473
Australia,Peru,1974531.013503533,1978089.3702179946,0.1802127538198375,79592.58,79736.01598025425,143.4359802542458
Australia,Russia,7435830.742199586,7442428.28737108,0.0887264032793595,183936.89,184100.0905868009,163.20058680090006
Australia,Singapore,6916514.359660016,6923313.413079828,0.09830173214801019,3218056.97,3221220.3757430203,3163.405743020121
Australia,UK,15177665.614065563,15184146.685028283,0.04270136875800869,2173979.65,2174907.9690670706,928.3190670707263
Australia,USA,48320974.81205076,48369956.131647475,0.10136658001464786,11021954.79,11033127.368621383,11172.578621383756
Australia,Vietnam,8534831.755096372,8548467.958690906,0.15977120564082814,1635754.28,1638367.7443344777,2613.4643344776705
Brazil,Australia,7222372.015824625,7221088.071731423,-0.017777318731146036,711392.92,711266.4534131808,-126.46658681926783
Brazil,Brazil,36839842.72440794,36875830.86152111,0.09768808564789334,46124135.26,46169193.044757135,45057.7847571373
Brazil,Brunei,255870.1381756654,256120.18165431765,0.09772280596518365,1030.42,1031.4269553372264,1.0069553372263726
Brazil,Canada,11769108.962146623,11773976.999198811,0.041362834415462534,2128645.56,2129526.0281382753,880.4681382752024
Brazil,Chile,2157033.7136501893,2159117.2555467696,0.09659292218731381,2466429.13,2468811.525970346,2382.3959703459404
Brazil,China,37055687.589360066,37089923.97746264,0.09239172264720452,34443871.09,34475694.37584644,31823.285846434534
Brazil,France,12469612.186272217,12480775.032101458,0.08952039295600663,2464538.71,2466744.974737745,2206.2647377448156
Brazil,Germany,24409294.232367765,24430910.79561716,0.08855873932122876,6878572.67,6884664.247239847,6091.577239846811
Brazil,India,12002045.319209164,11984062.231993088,-0.14983352201889907,2434929.2,2431280.8598209736,-3648.3401790265925
Brazil,Italy,12268626.916483993,12279853.694956964,0.09150802733993806,1888521.06,1890249.2083679056,1728.1483679055236
Brazil,Japan,17752888.616787847,17769086.74643348,0.09124221976088352,111568.72,111670.51777668681,101.79777668681345
Brazil,Malaysia,5537668.593922056,5542944.384239774,0.09527096517672537,2813242.47,2815922.6732539306,2680.2032539304346
Brazil,Mexico,5010113.542883623,5014702.931913481,0.09160249544397014,789804.26,790527.7404112829,723.480411282857
Brazil,New Zealand,1615051.5174731994,1615339.3658044082,0.01782285754321661,12517.1,12519.330904901542,2.2309049015420896
Brazil,Peru,3761229.2232516236,3767730.7863719943,0.17285740204767575,1826222.15,1829378.910164109,3156.7601641090587
Brazil,Russia,5284327.99146199,5288628.259664048,0.08137776854514105,4641117.19,4644894.027604787,3776.8376047862694
Brazil,Singapore,10402556.075795284,10412017.44962311,0.09095239438161742,4938100.47,4942591.7906144345,4491.320614434779
Brazil,UK,18024757.77957125,18031130.633342527,0.03535611323720302,392639.15,392777.9719424876,138.82194248755695
Brazil,USA,57733007.289013766,57787286.1404203,0.09401701722346607,10165410.83,10174968.046050878,9557.216050878167
Brazil,Vietnam,6507074.455229304,6516992.365983087,0.15241735471172413,395788.6,396391.85051437054,603.2505143705639
Brunei,Australia,231943.26950844988,231900.94394594704,-0.018248239145951008,942475.81,942303.8247602986,-171.98523970146198
Brunei,Brazil,220358.26076504154,220572.48562110288,0.09721662138627774,1912.34,1914.1991123374185,1.8591123374185372
Brunei,Brunei,56688.84505351851,56743.97571583658,0.09725134153998768,2483445.85,2485861.0344055444,2415.184405544307
Brunei,Canada,456855.19537050655,457042.0109315232,0.04089163544811307,7554.19,7557.2790318358575,3.089031835857895
Brunei,Chile,93124.39393578099,93213.90646572014,0.09612146308396852,1386.29,1387.6225222305868,1.3325222305868465
Brunei,China,1154766.3309826648,1155827.795465923,0.09192028333167744,1647850.71,1649365.4190415149,1514.7090415148996
Brunei,France,432677.396715847,433062.6914687769,0.08904896716454057,30832.97,30860.426441331158,27.456441331156384
Brunei,Germany,844930.6233608582,845674.9000864375,0.08808731805917937,87037.69,87114.35916682167,76.6691668216663
Brunei,India,387519.6460823197,386937.18924928893,-0.1503038204434843,380150.14,379578.75981615874,-571.3801838412764
Brunei,Italy,431896.6329122244,432289.81688859646,0.09103659218662433,13493.91,13506.19439581673,12.284395816730466
Brunei,Japan,552315.0992953284,552816.4400513796,0.09077078585953531,1916997.82,1918737.893986124,1740.0739861240145
Brunei,Malaysia,286529.6339442541,286801.2626398278,0.09479951229985616,1363701.28,1364994.0621626668,1292.7821626667865
Brunei,Mexico,390398.5809056525,390754.35527005454,0.09113105984574055,4257.14,4261.019576801118,3.8795768011177643
Brunei,New Zealand,55088.47013376604,55098.028958097246,0.017351769450118733,4538.89,4539.677577728395,0.7875777283943535
Brunei,Peru,51484.80578736854,51573.55817036016,0.17238558373544843,27.37,27.417181934268392,0.04718193426839079
Brunei,Russia,2500632.8669722364,2502656.038529645,0.0809063811057723,322.52,322.78093926034234,0.2609392603423544
Brunei,Singapore,176477.06786419265,176636.74601263268,0.09048096184536959,1623037.04,1624505.5795248984,1468.5395248983987
Brunei,UK,669615.1517504157,669848.7466114885,0.03488494256173951,57351.15,57371.156915736,20.00691573599761
Brunei,USA,2153269.6894701496,2155283.9778802427,0.09354557025268959,212789.25,212988.30491734893,199.05491734892712
Brunei,Vietnam,197645.04255866774,197945.35556903025,0.15194563267295597,150842.43,151071.62848460276,229.19848460276262
Canada,Australia,5942225.80333719,5936375.553456879,-0.09845216378390642,77279.51,77203.4266502434,-76.0833497565909
Canada,Brazil,8697465.78827658,8698937.405793296,0.01692007249629603,2315330.13,2315721.8855365245,391.75553652457893
Canada,Brunei,402301.04179723514,402369.2509926518,0.01695476479800712,5430.57,5431.490740370691,0.9207403706914192
Canada,Canada,124024084.03718883,123975268.49214587,-0.039359730347473816,10137905.33,10133915.077799229,-3990.252200771123
Canada,Chile,3844638.7439876483,3845247.1885458836,0.015825792714253148,464504.43,464577.94150824036,73.51150824036449
Canada,China,51673785.37328144,51679793.99230558,0.011627983088001139,36466345.85,36470586.15052825,4240.300528250635
Canada,France,9866668.779581362,9867532.998164376,0.008758970249435399,2145938.58,2146126.5421217936,187.9621217935346
Canada,Germany,37919695.29742673,37922652.310366444,0.007798092565144007,10762160.4,10762999.643230002,839.2432300020009
Canada,India,8984202.65481468,9539129.711425692,6.176697898879479,2423641.0,2573341.9827233814,149700.98272338137
Canada,Italy,19547112.900395967,19549213.237838827,0.010745000827295886,4515558.15,4516043.346760575,485.1967605743557
Canada,Japan,25589112.798725173,25591794.386188872,0.010479407726214234,754409.85,754488.9076841081,79.05768410814926
Canada,Malaysia,8761463.185955003,8762734.02763719,0.01450490238004496,2216674.88,2216996.4065274266,321.52652742667124
Canada,Mexico,15080655.762125332,15082290.413625997,0.010839392705786943,20453800.09,20456017.15771501,2217.067715011537
Canada,New Zealand,2593594.4092085795,2591963.538551658,-0.06288071300320157,265264.65,265097.8496967346,-166.80030326545238
Canada,Peru,1995849.8302687032,1997686.5856276625,0.0920287353839658,2300816.47,2302933.882300847,2117.412300847005
Canada,Russia,3794177.117938303,3794200.752476772,0.000622916056215832,344052.51,344054.65315832663,2.1431583266239613
Canada,Singapore,13983437.33250461,13984862.219067888,0.010189816204679337,142878.62,142893.17906877378,14.559068773785839
Canada,UK,14452298.417598523,14445742.623112878,-0.04536160475113354,6887313.72,6884189.523972362,-3124.1960276374593
Canada,USA,147459167.4611244,147478708.70019525,0.013251966227202736,95997435.51,96010157.05773278,12721.547732770443
Canada,Vietnam,9899796.389969358,9906885.157088721,0.07160518095650341,7318061.69,7323301.801315634,5240.11131563317
Chile,Australia,2508223.0182600087,2507820.744656986,-0.016038191185312835,91467.75,91453.0802273821,-14.669772617897252
Chile,Brazil,1903693.6396344572,1905586.4674027846,0.09942922164150803,3153527.91,3156663.4382551606,3135.5282551604323
Chile,Brunei,92970.32608961279,93062.79804135488,0.09946394256265874,469.31,469.7767942288408,0.46679422884079713
Chile,Canada,4288465.74136238,4290314.198350634,0.04310299066694504,4540.37,4542.3270352573445,1.9570352573446144
Chile,Chile,5369144.656021077,5374424.352828139,0.09833403913119541,2485852.02,2488296.4586980906,2444.438698090613
Chile,China,13386125.935563656,13398726.666235836,0.09413276651389929,9008470.84,9016950.76282229,8479.922822291031
