,factory gate price change (percent),baseline imr,experiment imr,imr change (percent),baseline omr,experiment omr,omr change (percent),terms of trade change (percent),GDP change (percent),welfare statistic,baseline output,experiment output,output change (percent),baseline expenditure,experiment expenditure,expenditure change (percent),baseline modeled foreign exports,experiment foreign exports,foreign exports change (percent),baseline modeled foreign imports,experiment foreign imports,foreign imports change (percent),baseline modeled intranational trade,experiment modeled intranational trade,intranational trade change (percent),baseline observed foreign exports,experiment observed foreign exports,baseline observed foreign imports,experiment observed foreign imports,baseline observed intranational trade,experiment observed intranational trade
Australia,0.07125210222156397,1.0702805351035374,1.0708490356719162,0.05311696791008867,1.9428188258127261,1.9414355121928577,-0.0712013699625213,0.01812550659194968,0.018125506591947477,0.9998187777815255,342036103.27,342279811.1839366,0.07125210222156997,261586379.45999998,261772765.25449052,0.07125210222157108,284954374.73120636,285208087.7636982,0.08903637037725316,195657494.4427566,195843298.2963124,0.09496383161042628,65928885.01194381,65922004.69683137,-0.01043596461732263,175952775.86,176109437.82520378,197439341.64999998,197626837.61393723,80449723.81,80441328.10528845
Brazil,0.07370133934219147,1.054386174192805,1.0552442222735188,0.08137891995508827,1.840491190339502,1.8391357226754363,-0.07364706069664247,-0.007671337761071724,-0.007671337761064502,1.0000767192630045,280814577.46,281021541.56465614,0.07370133934220008,234690442.2,234863412.1992095,0.07370133934219636,251238326.15888023,251421687.30405885,0.07298295128055445,197850599.4660054,197989803.84498787,0.07035833065867084,36839842.72440794,36875830.86152111,0.09768808564789334,79504341.7,79562366.31496884,106776471.37,106851597.51279217,46124135.26,46169193.044757135
Brunei,0.07385845692904347,1.0912672570656161,1.0921549846049605,0.08134831624394918,1.8084223518781641,1.8070876648095082,-0.07380394669805734,-0.007483771392881801,-0.007483771392872054,1.0000748433150313,11058184.37,11066351.77434005,0.07385845692904752,8574738.53,8581071.699563958,0.07385845692904669,11287528.158315726,11295936.249816075,0.07449010432062533,8518049.685453799,8524406.343637194,0.07462574671583654,56688.84505351851,56743.97571583658,0.09725134153998768,8446558.94,8452850.79056591,7572888.09,7578539.414285117,2483445.85,2485861.0344055444
Canada,0.10063204690264893,1.0517174739970976,1.0523544552638675,0.06056581567947575,1.79731848217499,1.7955116220733025,-0.10053088084315838,0.04004197947169436,0.04004197947169944,0.9995997404771191,501538854.87,502043563.6856678,0.10063204690265318,491400949.55,491895456.38403124,0.10063204690265015,390487649.0883168,391078120.0524625,0.1512137363433415,367376865.5380879,367939694.67628324,0.15320211776835044,124024084.03718883,123975268.49214587,-0.039359730347473816,195856896.61,196153059.14125013,113073334.35,113246565.09285548,10137905.33,10133915.077799229
Chile,0.07312110648753922,1.0646456652765968,1.065510692456583,0.0812502420475661,1.8668996250101955,1.8655355247884051,-0.07306767881443511,-0.008122535979886384,-0.008122535979880129,1.0000812319578938,94676809.21,94746037.94048144,0.07312110648753642,92190957.18,92258368.22797146,0.07312110648752594,91756588.91421884,91824870.55488689,0.07441606262399796,86821812.52432618,86884698.46360949,0.07243103714943945,5369144.656021077,5374424.352828139,0.09833403913119541,24451133.45,24469329.02078043,29144546.73,29165656.427469045,2485852.02,2488296.4586980906
China,0.0725805346349917,0.894584324893185,0.8953029913540252,0.08033523960148747,1.6205567272063066,1.6193813715454977,-0.07252789372175568,-0.007748480206358136,-0.007748480206347866,1.0000774908064234,3362301613.44,3364741989.927076,0.07258053463499473,2684362678.52,2686311003.303612,0.07258053463500108,1877863683.5990608,1878956906.473382,0.05821630632027465,1112954957.5613606,1113395971.0769334,0.03962545946505404,1571407721.0723617,1572912420.0230784,0.09575484010539898,941023968.4399999,941571797.8360143,1016922804.14,1017325764.4735453,677938934.92,678588094.2631449
France,0.07639324057862051,0.9686705005529564,0.9694324980835451,0.0786642651091077,1.849611451323407,1.8481995517890857,-0.07633492609007594,-0.002269239449950123,-0.002269239449952906,1.000022692909456,585148036.6,585595050.1473409,0.07639324057861324,714842314.54,715388405.7491043,0.07639324057861746,430392216.610146,430706406.4939963,0.07300082848267044,544950968.8385918,545346074.8449556,0.07250303769636482,169891345.71764746,170029711.7655818,0.0814438471540995,113956889.32,114040078.79331668,126404313.46,126495960.42703773,129694277.94,129799905.94949305
Germany,0.07518983993106687,0.9643290642704129,0.9650882297750122,0.07872473543807149,1.6930603017023658,1.6917882488221998,-0.07513334751791884,-0.003532114858919842,-0.003532114858939418,1.0000353223962168,1635599573.79,1636829378.4914458,0.07518983993106107,1424674986.14,1425746196.9816167,0.07518983993106795,1025298144.7154105,1026004915.6411109,0.0689332102416515,772066896.3622243,772565022.8968555,0.06451857176860891,652608089.7108247,653156885.5222927,0.0840927074181965,261473513.48,261653755.5667734,211115400.88,211251609.52143136,210924587.65,211101959.84636557
India,0.15158598329994,1.0,1.0,0.0,1.7875153143511844,1.7848097929045383,-0.15135654642646051,0.15158598329994,0.15158598329993248,0.9984864345201162,394813673.35,395412155.5389502,0.15158598329993248,570402004.49,571266653.9772687,0.15158598329993156,314402395.66556156,315417176.7388393,0.32276505754021734,479778417.8892814,481033513.66599935,0.2615990486274019,90623586.60071984,90276857.92826296,-0.38260312294252247,146622278.24,147095523.7207281,166074380.57999998,166508829.5796111,175588331.14,174916524.70153567
Italy,0.07468246960695701,1.024814852122275,1.0256304902240658,0.07958882524991281,1.7699345968238596,1.7686137523917187,-0.07462673674559028,-0.004902453837536026,-0.004902453837524568,1.0000490269418985,615910260.06,616370237.0527754,0.07468246960695715,568202425.25,568626772.8535433,0.07468246960694956,482527677.8088105,482870345.8764581,0.07101521496211656,418888617.0465181,419175944.4779891,0.06859280003760096,149313808.19940838,149446046.73511037,0.08856417051890188,151360827.7,151468316.9171596,130071209.54,130160429.02466625,47707834.82,47750086.86818086
